as_of_date,ticker,headline,news_text,source,url
2025-04-29 22:49:00,NVDA,TSMC's AI chip plans remain on track; CoWoS capacity to double in 2025,,Finviz,https://www.digitimes.com/news/a20250430PD220/tsmc-cowos-capacity-nvidia-2025.html
2025-04-29 21:55:00,NVDA,TSMC Starts Building Third Arizona Plant As US Tariffs Loom,,Finviz,https://finance.yahoo.com/news/tsmc-starts-building-third-arizona-015525442.html
2025-04-29 21:30:00,NVDA,Franklin Growth Fund Q1 2025 Commentary,,Finviz,https://seekingalpha.com/article/4779488-franklin-growth-fund-q1-2025-commentary?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
2025-04-29 20:39:00,BA,Well Happily Take Them All: Boeing Stock (NYSE:BA) Gains as Another Buyer for the Chinese Planes Emerges,,Finviz,https://finance.yahoo.com/news/ll-happily-them-boeing-stock-003900270.html
2025-04-29 19:55:00,TSLA,"Elon Musk Was Asked 'Who's the Smartest Guy You've Ever Met?' He Picked Two CEOs, Both Named Larry  And One Even Said He'd Leave Him His Fortune",,Finviz,https://finance.yahoo.com/news/elon-musk-asked-whos-smartest-235549519.html
2025-04-29 19:30:00,NVDA,"Brad Gerstner Says He's Buying NVIDIA (NVDA) Amid 'Off The Charts' GPU Demand, Secular Growth",,Finviz,/news/38283/brad-gerstner-says-hes-buying-nvidia-nvda-amid-off-the-charts-gpu-demand-secular-growth
2025-04-29 18:21:00,TSLA,Trump's auto tariff exemptions: What they mean for automakers,,Finviz,https://finance.yahoo.com/video/trumps-auto-tariff-exemptions-mean-222100504.html
2025-04-29 17:45:00,NVDA,Nvidia (NVDA) Gains But Lags Market: What You Should Know,,Finviz,/news/39450/nvidia-nvda-gains-but-lags-market-what-you-should-know
2025-04-29 17:39:00,NVDA,These Charts Show How Every S&P 500 Stock Has Performed in Trumps First 100 Days,,Finviz,https://finance.yahoo.com/m/85255294-5bae-3c9d-9909-77641aa7ab6a/these-charts-show-how-every.html
2025-04-29 17:39:00,NVDA,Supermicro Stock Plummets as Server Maker Slashes Quarterly Forecast,,Finviz,https://www.investopedia.com/supermicro-stock-plummets-as-server-maker-slashes-quarterly-forecast-11724596
2025-04-29 17:30:00,NVDA,"NVIDIA, Dell fall after-hours after SMCIs Q3 warning",,Finviz,https://finance.yahoo.com/news/nvidia-dell-fall-hours-smci-213040839.html
2025-04-29 17:26:00,NVDA,Super Micro Computer Stock Plunges On Weak March-Quarter Figures,,Finviz,https://finance.yahoo.com/m/788e8b20-360f-391a-873d-6f8dfb72ea5b/super-micro-computer-stock.html
2025-04-29 16:52:00,TSLA,"For Ford, Tesla, the Worst Auto Tariff Case Is Off the Table",,Finviz,https://finance.yahoo.com/m/8e2e947d-89f0-3bce-9192-df0bf3f25d23/for-ford%2C-tesla%2C-the-worst.html
2025-04-29 16:48:00,BA,Watch These Boeing Stock Price Levels After 5-Session Winning Streak Snapped,,Finviz,https://www.investopedia.com/watch-these-boeing-stock-price-levels-after-5-session-winning-streak-snapped-11723927
2025-04-29 16:46:00,NVDA,Jim Cramer Says NVIDIA (NVDA) Being 'Punished' for Doing Business With 'Enemy Nation',,Finviz,/news/38086/jim-cramer-says-nvidia-nvda-being-punished-for-doing-business-with-enemy-nation
2025-04-29 16:44:00,TSLA,Tesla Stock Rose for 6th Straight Day. Why Robots Matter More Than Tariffs.,,Finviz,https://finance.yahoo.com/m/474498fc-c584-3d73-8e4f-3d8bf1342679/tesla-stock-rose-for-6th.html
2025-04-29 16:42:00,TSLA,"Tesla's Slump Has Been A Goldmine For Short Sellers This YearThey've Made $11.5 Billion, Beating Out Nvidia's $9.4 Billion",,Finviz,https://finance.yahoo.com/news/teslas-slump-goldmine-short-sellers-204219906.html
