day,P1,P5,P25,P50,P75,P95,P99
0,182.0,182.0,182.0,182.0,182.0,182.0,182.0
1,168.70809436292757,176.65431971058035,180.3472936591133,182.4989943005022,184.8410061691946,188.20227182513696,194.39173281002823
2,167.36795304735426,172.664278228325,179.62629781420634,183.15255565035648,186.69744033780694,192.73969455890892,198.14228602440357
3,165.68116190206504,171.33254315315477,179.03401044753372,183.7876432422281,188.19554795693261,195.50328845801053,201.376615342457
4,163.57800998689214,169.81484862625956,178.865720930136,184.4087183085955,189.4235409604329,198.19105061832784,203.8079524474865
5,162.30649547500695,169.11816111991007,178.45481766554798,184.81536871969485,190.7598233958889,200.09911608103985,207.5573494284214
6,161.2865681965771,168.63419585237432,178.26139351122305,185.44825499729228,192.14666134428353,202.5922037018582,209.99034880471478
7,159.0475191030871,167.60175755710347,178.45543373923203,185.87814385296662,193.3681348337792,205.11319110644288,212.5772071381696
8,158.06503367232077,166.70398173343006,178.42284240404007,186.5067658715899,194.28680130006228,206.83877075483363,215.2035873014448
9,157.3265442368319,166.0809188109056,178.29686035365586,186.87298077120434,195.33393055675165,208.76993089975863,218.12120312223578
10,155.70697303404427,165.70622454688882,178.2783966468644,187.16365805566724,196.46842400056104,210.24173416368737,220.88233772019592
11,155.46930911730988,165.3631027071355,178.2435149489013,187.70129594373142,197.54856877989295,212.54567812727836,223.4806335921557
12,155.64501878888663,164.78657362426952,178.20245910340924,188.08130406598946,198.49346666188546,214.7315930110099,225.58363990838507
13,154.617282555776,163.9613061366439,178.589626003136,188.74480235706062,199.42288326532082,215.80365304190823,228.54692733138683
14,154.3513326642023,163.71229845261618,178.59203978693012,189.25807300821504,200.37764539207353,217.71502101109957,230.40694139691792
15,153.32721377871403,163.71419804153845,178.81913484029263,190.01170639457018,201.49058167135072,219.27123539997592,232.66330821657124
16,152.37621702671078,162.9791784695144,179.10877707985594,190.49150906785115,202.3083162465608,221.21294488248293,235.67631873114766
17,152.3271388781441,162.80040350366562,179.0056964726266,190.59657276744477,203.87357367724007,223.04036338540243,237.5975010127496
18,151.45893096578422,162.22293682599366,179.51348671133087,191.40264685984602,204.72220985034804,225.1157773358413,238.8537611251732
19,150.94766004557707,161.8644938925807,179.5556496398454,192.24325132795047,205.73085568440086,226.19123023792426,239.60187093289747
20,150.4412131117188,162.08371197550548,179.71027350061968,192.44080296234188,206.23967906363515,227.61828233208175,241.37279041513446
21,150.59235745853158,161.78097470053206,179.8349244158694,193.02863164798828,207.5017305954306,228.42195312963256,243.89166282801477
22,150.73410585998303,161.65355662166405,179.9854662752856,194.11326982314642,208.419990246606,230.3600398470881,246.8219847786252
23,150.4368843285762,162.1563964809047,180.19434267103688,194.53606870845738,209.43075052459778,231.58265656814532,250.4396257872561
24,149.68008563795357,161.87148975554362,180.37187001076973,194.88740024174862,210.3243063555161,233.03001948741243,251.88660281800966
25,148.5226207348434,161.6198511535118,180.69802320959158,195.26931636779364,211.27375099428107,234.79350988551374,252.5927981784541
26,148.58507445509446,161.3148603107066,180.97260381508576,195.70264403022458,212.36361307353005,236.03250612390812,254.82751484443344
27,148.79502660970334,161.07729460193832,181.01662248142458,196.5405309336012,213.31269186260226,237.8017117944014,255.87217951399748
28,147.9412589946477,160.91573529268527,181.4886684815095,196.91105652737042,214.23487593863348,239.32648716985318,259.4072939365266
29,148.03730785971592,160.88852926213033,181.42367516144108,197.3139831463658,215.4675489643354,241.6913681848553,260.43077011767053
30,147.84114355027097,161.28971737005207,182.01211922073264,198.16232258025587,216.14948186203884,242.72614616194159,263.71803909961443
