Date,Close/Last,Volume,Open,High,Low
04/29/2025,$109.02,170444300,$107.67,$110.20,$107.44
04/28/2025,$108.73,207708500,$109.69,$110.37,$106.02
04/25/2025,$111.01,251064700,$106.85,$111.92,$105.73
04/24/2025,$106.43,220815000,$103.48,$106.54,$103.11
04/23/2025,$102.71,247526000,$104.52,$104.80,$102.02
04/22/2025,$98.89,241004800,$98.78,$99.81,$97.28
04/21/2025,$96.91,288501100,$98.77,$99.44,$95.04
04/17/2025,$101.49,292517500,$104.45,$104.47,$100.05
04/16/2025,$104.49,397016900,$104.55,$106.79,$100.45
04/15/2025,$112.20,228966900,$110.97,$113.62,$110.50
04/14/2025,$110.71,264705000,$114.11,$114.29,$109.07
04/11/2025,$110.93,313417300,$108.50,$111.55,$107.48
04/10/2025,$107.57,437812400,$109.37,$110.86,$99.15
04/09/2025,$114.33,612918300,$98.89,$115.10,$97.53
04/08/2025,$96.30,476243400,$103.81,$105.85,$94.46
04/07/2025,$97.64,611041300,$87.46,$101.75,$86.62
04/04/2025,$94.31,532273800,$98.91,$100.13,$92.11
04/03/2025,$101.80,338769400,$103.51,$105.63,$101.60
04/02/2025,$110.42,220601200,$107.29,$111.98,$106.79
04/01/2025,$110.15,222614000,$108.52,$110.20,$106.47
03/31/2025,$108.38,299212700,$105.13,$110.96,$103.65
03/28/2025,$109.67,229872500,$111.49,$112.87,$109.07
03/27/2025,$111.43,236902100,$111.35,$114.45,$110.66
03/26/2025,$113.76,296431700,$118.73,$118.84,$112.71
03/25/2025,$120.69,167447200,$120.55,$121.29,$118.92
03/24/2025,$121.41,228452500,$119.88,$122.22,$119.34
03/21/2025,$117.70,266498500,$116.94,$117.99,$115.42
03/20/2025,$118.53,248829700,$116.55,$120.20,$116.47
03/19/2025,$117.52,273426200,$117.27,$120.45,$115.68
03/18/2025,$115.43,299686900,$118.00,$119.02,$114.54
03/17/2025,$119.53,255501500,$122.74,$122.89,$118.03
03/14/2025,$121.67,277593500,$118.61,$121.88,$118.15
03/13/2025,$115.58,299033100,$117.03,$117.76,$113.79
03/12/2025,$115.74,323857500,$114.12,$116.76,$112.88
03/11/2025,$108.76,354865700,$106.99,$112.24,$104.77
03/10/2025,$106.98,366487400,$109.90,$111.85,$105.46
03/07/2025,$112.69,341755500,$111.25,$113.48,$107.56
03/06/2025,$110.57,321181900,$113.53,$115.35,$110.22
03/05/2025,$117.30,284337900,$117.58,$118.28,$114.51
03/04/2025,$115.99,398163300,$110.65,$119.31,$110.11
03/03/2025,$114.06,411381400,$123.51,$123.70,$112.28
02/28/2025,$124.92,389091100,$118.02,$125.09,$116.40
02/27/2025,$120.15,443175800,$135.00,$135.01,$120.01
02/26/2025,$131.28,322553800,$129.99,$133.73,$128.49
02/25/2025,$126.63,271428700,$129.98,$130.20,$124.44
02/24/2025,$130.28,251381100,$136.56,$138.59,$130.08
02/21/2025,$134.43,228217600,$140.04,$141.46,$134.03
02/20/2025,$140.11,143903600,$140.03,$140.66,$136.79
02/19/2025,$139.23,167536000,$139.51,$141.36,$137.22
02/18/2025,$139.40,219176600,$141.27,$143.44,$137.93
02/14/2025,$138.85,195479600,$136.48,$139.25,$135.50
02/13/2025,$135.29,197430000,$131.56,$136.50,$131.17
02/12/2025,$131.14,160278600,$130.02,$132.24,$129.08
02/11/2025,$132.80,178902400,$132.58,$134.48,$131.02
02/10/2025,$133.57,216989100,$130.09,$135.00,$129.96
02/07/2025,$129.84,228186300,$129.22,$130.37,$125.00
02/06/2025,$128.68,251483600,$127.42,$128.77,$125.21
02/05/2025,$124.83,263110600,$121.76,$125.00,$120.76
02/04/2025,$118.65,256550000,$116.96,$121.20,$116.70
02/03/2025,$116.66,371235700,$114.75,$118.57,$113.01
01/31/2025,$120.07,390372900,$123.78,$127.85,$119.19
01/30/2025,$124.65,392925500,$123.10,$125.00,$118.10
01/29/2025,$123.70,467120600,$126.50,$126.89,$120.05
01/28/2025,$128.99,579666400,$121.81,$129.00,$116.25
01/27/2025,$118.42,818830900,$124.80,$128.40,$116.70
01/24/2025,$142.62,234657600,$148.37,$148.97,$141.88
01/23/2025,$147.22,155915500,$145.05,$147.23,$143.72
